Регион,Округ,Год,Наименование,№ строки," Количество органов самоуправления, ед", Число членов органов при ОИВ, Число членов органов при ОПВ, Число членов ИК, Объем финанс-я ОМСУ, Число членов УССУ, Число уч-в мер-й УССУ, Объем финансирования УССУ
Республика Бурятия,ДФО,2021,Студенческое самоуправление,54,,,,,,,,
Владимирская область,ЦФО,2021,Региональный уровень,51,  2 ,  20 ,  38 ,  -   ,  -   ,,,
Владимирская область,ЦФО,2021,Муниципальный уровень,52,  24 ,  385 ,  28 ,  2 ,  363 000 ,,,
Владимирская область,ЦФО,2021,Ученическое самоуправление,53,  220 ,,,,,  13 966 ,  31 436 ,
Владимирская область,ЦФО,2021,Студенческое самоуправление,54,  69 ,,,,,  5 761 ,  14 772 ,  -   
Волгоградская область,ЮФО,2021,Региональный уровень,51,  2 ,  -   ,  40 ,  14 ,  -   ,,,
Волгоградская область,ЮФО,2021,Муниципальный уровень,52,  59 ,  283 ,  253 ,  141 ,  29 000 ,,,
Волгоградская область,ЮФО,2021,Ученическое самоуправление,53,  1 069 ,,,,,  89 151 ,  115 896 ,
Волгоградская область,ЮФО,2021,Студенческое самоуправление,54,  230 ,,,,,  8 886 ,  77 077 ,  58 275 975 
Вологодская область,СЗФО,2021,Региональный уровень,51,  3 ,  19 ,  51 ,  10 ,,,,
Вологодская область,СЗФО,2021,Муниципальный уровень,52,  160 ,  220 ,  351 ,  55 ,  95 000 ,,,
Вологодская область,СЗФО,2021,Ученическое самоуправление,53,  341 ,,,,,  7 102 ,  29 562 ,
Вологодская область,СЗФО,2021,Студенческое самоуправление,54,  85 ,,,,,  2 727 ,  15 236 ,
Воронежская область,ЦФО,2021,Региональный уровень,51,  3 ,  30 ,  54 ,  35 ,  63 727 ,,,
Воронежская область,ЦФО,2021,Муниципальный уровень,52,  85 ,  515 ,  235 ,  57 ,  13 895 ,,,
Воронежская область,ЦФО,2021,Ученическое самоуправление,53,  607 ,,,,,  14 144 ,  63 672 ,
Воронежская область,ЦФО,2021,Студенческое самоуправление,54,  120 ,,,,,  22 038 ,  65 786 ,  1 200 000 
Республика Дагестан,СКФО,2021,Региональный уровень,51,  5 ,  370 ,  62 ,  40 ,  -   ,,,
Республика Дагестан,СКФО,2021,Муниципальный уровень,52,  50 ,  1 908 ,  265 ,  -   ,  -   ,,,
Республика Дагестан,СКФО,2021,Ученическое самоуправление,53,  160 ,,,,,  12 000 ,  30 000 ,
Республика Дагестан,СКФО,2021,Студенческое самоуправление,54,  82 ,,,,,  12 500 ,  8 600 ,  246 000 
Еврейская автономная область,ДФО,2021,Региональный уровень,51,,,,,,,,
Еврейская автономная область,ДФО,2021,Муниципальный уровень,52,  2 ,  31 ,,,,,,
Еврейская автономная область,ДФО,2021,Ученическое самоуправление,53,  45 ,,,,,  3 421 ,  5 824 ,
Еврейская автономная область,ДФО,2021,Студенческое самоуправление,54,  2 ,,,,,  93 ,  467 ,
Забайкальский край,ДФО,2021,Региональный уровень,51,  5 ,  -   ,  50 ,  16 ,  -   ,,,
Забайкальский край,ДФО,2021,Муниципальный уровень,52,  17 ,  205 ,  59 ,  25 ,  100 000 ,,,
Забайкальский край,ДФО,2021,Ученическое самоуправление,53,  424 ,,,,,  19 600 ,  98 000 ,
Забайкальский край,ДФО,2021,Студенческое самоуправление,54,  115 ,,,,,  8 435 ,  36 000 ,  -   
Ивановская область,ЦФО,2021,Региональный уровень,51,  2 ,  -   ,  26 ,  13 ,  -   ,,,
Ивановская область,ЦФО,2021,Муниципальный уровень,52,  14 ,  198 ,  18 ,  53 ,  28 000 ,,,
Ивановская область,ЦФО,2021,Ученическое самоуправление,53,  147 ,,,,,  4 396 ,  33 050 ,
Ивановская область,ЦФО,2021,Студенческое самоуправление,54,  61 ,,,,,  5 602 ,  14 740 ,  50 000 
Республика Ингушетия,СКФО,2021,Региональный уровень,51,  2 ,  30 ,  30 ,  -   ,  -   ,,,
Республика Ингушетия,СКФО,2021,Муниципальный уровень,52,  -   ,  -   ,  -   ,  -   ,  -   ,,,
Республика Ингушетия,СКФО,2021,Ученическое самоуправление,53,  5 ,,,,,  1 000 ,  7 000 ,
Республика Ингушетия,СКФО,2021,Студенческое самоуправление,54,  3 ,,,,,  970 ,  5 000 ,  -   
Иркутская область,СФО,2021,Региональный уровень,51,  2 ,  90 ,  -   ,  15 ,  -   ,,,
Иркутская область,СФО,2021,Муниципальный уровень,52,  56 ,  357 ,  166 ,  415 ,  872 715 ,,,
Иркутская область,СФО,2021,Ученическое самоуправление,53,  1 394 ,,,,,  74 542 ,  345 491 ,
Иркутская область,СФО,2021,Студенческое самоуправление,54,  133 ,,,,,  4 341 ,  22 595 ,  53 400 
Кабардино-Балкарская Республика,СКФО,2021,Региональный уровень,51,  2 ,  20 ,  50 ,,,,,
Кабардино-Балкарская Республика,СКФО,2021,Муниципальный уровень,52,  9 ,  243 ,  44 ,  2 ,,,,
Кабардино-Балкарская Республика,СКФО,2021,Ученическое самоуправление,53,  168 ,,,,,  13 955 ,  51 851 ,
Кабардино-Балкарская Республика,СКФО,2021,Студенческое самоуправление,54,  41 ,,,,,  549 ,  6 112 ,  7 400 000 
Калининградская область,СЗФО,2021,Региональный уровень,51,  3 ,  16 ,  21 ,  20 ,  361 762 ,,,
Калининградская область,СЗФО,2021,Муниципальный уровень,52,  14 ,  165 ,  57 ,  -   ,  204 525 ,,,
Калининградская область,СЗФО,2021,Ученическое самоуправление,53,  154 ,,,,,  4 244 ,  16 170 ,
Калининградская область,СЗФО,2021,Студенческое самоуправление,54,  31 ,,,,,  942 ,  26 607 ,  17 312 438 
Республика Калмыкия,ЮФО,2021,Региональный уровень,51,  3 ,  12 ,  27 ,  9 ,,,,
Республика Калмыкия,ЮФО,2021,Муниципальный уровень,52,  9 ,  30 ,  -   ,,,,,
Республика Калмыкия,ЮФО,2021,Ученическое самоуправление,53,  88 ,,,,,  2 000 ,,
Республика Калмыкия,ЮФО,2021,Студенческое самоуправление,54,  10 ,,,,,  5 700 ,,  16 000 
Калужская область,ЦФО,2021,Региональный уровень,51,  5 ,  30 ,  40 ,  20 ,  1 877 000 ,,,
Калужская область,ЦФО,2021,Муниципальный уровень,52,  65 ,  307 ,  149 ,  149 ,  27 150 ,,,
Калужская область,ЦФО,2021,Ученическое самоуправление,53,  380 ,,,,,  17 580 ,  66 794 ,
Калужская область,ЦФО,2021,Студенческое самоуправление,54,  12 ,,,,,  1 422 ,  6 490 ,  -   
Камчатский край,ДФО,2021,Региональный уровень,51,  2 ,  20 ,  26 ,,,,,
Камчатский край,ДФО,2021,Муниципальный уровень,52,  7 ,  13 ,  48 ,  8 ,  474 797 ,,,
Камчатский край,ДФО,2021,Ученическое самоуправление,53,  84 ,,,,,  1 406 ,  7 358 ,
Камчатский край,ДФО,2021,Студенческое самоуправление,54,  27 ,,,,,  572 ,  6 055 ,
Республика Карелия,СЗФО,2021,Региональный уровень,51,  3 ,  23 ,  36 ,  10 ,  -   ,,,
Республика Карелия,СЗФО,2021,Муниципальный уровень,52,  7 ,  40 ,  25 ,  -   ,  5 000 ,,,
Республика Карелия,СЗФО,2021,Ученическое самоуправление,53,  31 ,,,,,  324 ,  701 ,
Республика Карелия,СЗФО,2021,Студенческое самоуправление,54,  8 ,,,,,  200 ,  6 043 ,  -   
Кемеровская область,СФО,2021,Региональный уровень,51,  2 ,  39 ,  45 ,  -   ,  -   ,,,
Кемеровская область,СФО,2021,Муниципальный уровень,52,  44 ,  273 ,  384 ,  49 ,  3 000 ,,,
Кемеровская область,СФО,2021,Ученическое самоуправление,53,  1 050 ,,,,,  25 336 ,  114 168 ,
Кемеровская область,СФО,2021,Студенческое самоуправление,54,  309 ,,,,,  46 213 ,  46 242 ,  5 340 500 
Кировская область,ПФО,2021,Региональный уровень,51,  2 ,  14 ,  40 ,  -   ,  -   ,,,
Кировская область,ПФО,2021,Муниципальный уровень,52,  22 ,  264 ,  12 ,  -   ,  7 840 ,,,
Кировская область,ПФО,2021,Ученическое самоуправление,53,  261 ,,,,,  6 263 ,  36 017 ,
Кировская область,ПФО,2021,Студенческое самоуправление,54,  61 ,,,,,  2 284 ,  12 865 ,  1 362 200 
Республика Коми,СЗФО,2021,Региональный уровень,51,  1 ,,  27 ,,,,,
Республика Коми,СЗФО,2021,Муниципальный уровень,52,  30 ,  112 ,  3 ,  2 ,  1 353 908 ,,,
Республика Коми,СЗФО,2021,Ученическое самоуправление,53,  191 ,,,,,  6 944 ,  40 784 ,
Республика Коми,СЗФО,2021,Студенческое самоуправление,54,  87 ,,,,,  5 140 ,  11 969 ,  730 199 
Костромская область,ЦФО,2021,Региональный уровень,51,  2 ,  16 ,  15 ,  -   ,  -   ,,,
Костромская область,ЦФО,2021,Муниципальный уровень,52,  28 ,  186 ,  64 ,  14 ,  7 000 ,,,
Костромская область,ЦФО,2021,Ученическое самоуправление,53,  156 ,,,,,  11 137 ,  31 415 ,
Костромская область,ЦФО,2021,Студенческое самоуправление,54,  78 ,,,,,  2 203 ,  6 072 ,  -   
Краснодарский край,ЮФО,2021,Региональный уровень,51,  3 ,  25 ,  1 527 ,  35 ,  9 000 000 ,,,
Краснодарский край,ЮФО,2021,Муниципальный уровень,52,  211 ,  5 383 ,  1 527 ,  576 ,  919 898 ,,,
Краснодарский край,ЮФО,2021,Ученическое самоуправление,53,  1 010 ,,,,,  20 283 ,  319 656 ,
Краснодарский край,ЮФО,2021,Студенческое самоуправление,54,  129 ,,,,,  4 106 ,  50 914 ,  97 263 
Красноярский край,СФО,2021,Региональный уровень,51,  -   ,  -   ,  -   ,  -   ,  -   ,,,
Красноярский край,СФО,2021,Муниципальный уровень,52,  40 ,  444 ,  16 ,  4 ,  31 000 ,,,
Красноярский край,СФО,2021,Ученическое самоуправление,53,  225 ,,,,,  10 009 ,  45 044 ,
Красноярский край,СФО,2021,Студенческое самоуправление,54,  32 ,,,,,  1 546 ,  7 053 ,  -   
Республика Крым,ЮФО,2021,Региональный уровень,51,  1 ,  25 ,  2 ,  -   ,  -   ,,,
Республика Крым,ЮФО,2021,Муниципальный уровень,52,  20 ,  214 ,  16 ,  1 ,  155 500 ,,,
Республика Крым,ЮФО,2021,Ученическое самоуправление,53,  389 ,,,,,  6 953 ,  50 753 ,
Республика Крым,ЮФО,2021,Студенческое самоуправление,54,  71 ,,,,,  3 229 ,  12 470 ,  500 000 
Курганская область,УФО,2021,Региональный уровень,51,  2 ,  14 ,  43 ,  -   ,  -   ,,,
Курганская область,УФО,2021,Муниципальный уровень,52,  26 ,  357 ,  66 ,  64 ,  133 500 ,,,
Курганская область,УФО,2021,Ученическое самоуправление,53,  329 ,,,,,  11 200 ,  79 896 ,
Курганская область,УФО,2021,Студенческое самоуправление,54,  42 ,,,,,  1 455 ,  35 954 ,  -   
Курская область,ЦФО,2021,Региональный уровень,51,  5 ,  77 ,  48 ,  14 ,  489 850 ,,,
Курская область,ЦФО,2021,Муниципальный уровень,52,  37 ,  244 ,  42 ,  28 ,  42 154 ,,,
Курская область,ЦФО,2021,Ученическое самоуправление,53,  576 ,,,,,  5 354 ,  23 021 ,
Курская область,ЦФО,2021,Студенческое самоуправление,54,  72 ,,,,,  3 912 ,  30 620 ,  895 497 
Ленинградская область,СЗФО,2021,Региональный уровень,51,  4 ,  58 ,  24 ,  21 ,  -   ,,,
Ленинградская область,СЗФО,2021,Муниципальный уровень,52,  118 ,  1 507 ,  22 ,  135 ,  325 030 ,,,
Ленинградская область,СЗФО,2021,Ученическое самоуправление,53,  355 ,,,,,  9 142 ,  103 706 ,
Ленинградская область,СЗФО,2021,Студенческое самоуправление,54,  46 ,,,,,  1 958 ,  11 484 ,  -   
Липецкая область,ЦФО,2021,Региональный уровень,51,  3 ,  25 ,  42 ,  14 ,,,,
Липецкая область,ЦФО,2021,Муниципальный уровень,52,  26 ,  232 ,  263 ,  45 ,  129 950 ,,,
Липецкая область,ЦФО,2021,Ученическое самоуправление,53,  243 ,,,,,  27 725 ,  54 270 ,
Липецкая область,ЦФО,2021,Студенческое самоуправление,54,  64 ,,,,,  12 700 ,  26 695 ,  50 000 
Магаданская область,ДФО,2021,Региональный уровень,51,  3 ,  16 ,  40 ,  16 ,  600 000 ,,,
Магаданская область,ДФО,2021,Муниципальный уровень,52,  5 ,  66 ,  13 ,  -   ,  10 000 ,,,
Магаданская область,ДФО,2021,Ученическое самоуправление,53,  33 ,,,,,  899 ,  4 004 ,
Магаданская область,ДФО,2021,Студенческое самоуправление,54,  42 ,,,,,  976 ,  4 614 ,  -   
Республика Марий Эл,ПФО,2021,Региональный уровень,51,  3 ,  12 ,  34 ,  10 ,  6 000 ,,,
Республика Марий Эл,ПФО,2021,Муниципальный уровень,52,  35 ,  188 ,  120 ,  39 ,  10 000 ,,,
Республика Марий Эл,ПФО,2021,Ученическое самоуправление,53,  275 ,,,,,  30 962 ,  45 680 ,
Республика Марий Эл,ПФО,2021,Студенческое самоуправление,54,  64 ,,,,,  4 202 ,  15 650 ,  856 688 
Республика Мордовия,ПФО,2021,Региональный уровень,51,  4 ,  68 ,  48 ,  2 ,  -   ,,,
Республика Мордовия,ПФО,2021,Муниципальный уровень,52,  66 ,  153 ,  264 ,  100 000 ,  125 000 ,,,
Республика Мордовия,ПФО,2021,Ученическое самоуправление,53,  343 ,,,,,  25 630 ,  25 630 ,
Республика Мордовия,ПФО,2021,Студенческое самоуправление,54,  10 ,,,,,  8 264 ,  16 128 ,  9 087 350 
Москва,ЦФО,2021,Региональный уровень,51,  19 ,  1 500 ,,  -   ,  -   ,,,
Москва,ЦФО,2021,Муниципальный уровень,52,  146 ,  2 000 ,  -   ,  -   ,  -   ,,,
Москва,ЦФО,2021,Ученическое самоуправление,53,  616 ,,,,,  42 000 ,  435 100 ,
Москва,ЦФО,2021,Студенческое самоуправление,54,  122 ,,,,,  71 010 ,  251 000 ,  -   
Московская область,ЦФО,2021,Региональный уровень,51,  1 ,  -   ,  60 ,  14 ,  -   ,,,
Московская область,ЦФО,2021,Муниципальный уровень,52,  88 ,  1 314 ,  834 ,  824 ,  -   ,,,
Московская область,ЦФО,2021,Ученическое самоуправление,53,  606 ,,,,,  38 532 ,  566 326 ,
Московская область,ЦФО,2021,Студенческое самоуправление,54,  119 ,,,,,  15 053 ,  129 955 ,  -   
Мурманская область,СЗФО,2021,Региональный уровень,51,  2 ,  25 ,  25 ,,,,,
Мурманская область,СЗФО,2021,Муниципальный уровень,52,  21 ,  250 ,  31 ,  61 ,,,,
Мурманская область,СЗФО,2021,Ученическое самоуправление,53,  61 ,,,,,  2 964 ,  20 464 ,
Мурманская область,СЗФО,2021,Студенческое самоуправление,54,  21 ,,,,,  1 812 ,  5 717 ,  107 573 
Ненецкий автономный округ,СЗФО,2021,Региональный уровень,51,  4 ,  32 ,  18 ,  7 ,  42 098 ,,,
Ненецкий автономный округ,СЗФО,2021,Муниципальный уровень,52,  2 ,  -   ,  18 ,  18 ,  87 500 ,,,
Ненецкий автономный округ,СЗФО,2021,Ученическое самоуправление,53,  23 ,,,,,  345 ,  6 440 ,
Ненецкий автономный округ,СЗФО,2021,Студенческое самоуправление,54,  5 ,,,,,  105 ,  1 137 ,  -   
Нижегородская область,ПФО,2021,Региональный уровень,51,  3 ,  16 ,  78 ,  14 ,  400 000 ,,,
Нижегородская область,ПФО,2021,Муниципальный уровень,52,  91 ,  656 ,  812 ,  286 ,  618 600 ,,,
Нижегородская область,ПФО,2021,Ученическое самоуправление,53,  604 ,,,,,  28 951 ,  221 351 ,
Нижегородская область,ПФО,2021,Студенческое самоуправление,54,  274 ,,,,,  8 463 ,  104 657 ,  415 000 
Новгородская область,СЗФО,2021,Региональный уровень,51,  2 ,  -   ,  32 ,  13 ,  -   ,,,
Новгородская область,СЗФО,2021,Муниципальный уровень,52,  22 ,  317 ,  58 ,  8 ,  68 000 ,,,
Новгородская область,СЗФО,2021,Ученическое самоуправление,53,  163 ,,,,,  5 173 ,  29 633 ,
Новгородская область,СЗФО,2021,Студенческое самоуправление,54,  48 ,,,,,  2 173 ,  20 536 ,  -   
Новосибирская область,СФО,2021,Региональный уровень,51,  47 ,,  44 ,  355 ,  799 900 ,,,
Новосибирская область,СФО,2021,Муниципальный уровень,52,  170 ,  753 ,  116 ,  204 ,  106 570 ,,,
Новосибирская область,СФО,2021,Ученическое самоуправление,53,  944 ,,,,,  16 622 ,  269 241 ,
Новосибирская область,СФО,2021,Студенческое самоуправление,54,  201 ,,,,,  7 722 ,  47 370 ,  10 417 753 
Омская область,СФО,2021,Региональный уровень,51,  2 ,  15 ,  34 ,  -   ,  -   ,,,
Омская область,СФО,2021,Муниципальный уровень,52,  23 ,  46 ,  269 ,  12 ,  -   ,,,
Омская область,СФО,2021,Ученическое самоуправление,53,  636 ,,,,,  16 645 ,  26 730 ,
Омская область,СФО,2021,Студенческое самоуправление,54,  108 ,,,,,  7 954 ,  14 726 ,
Оренбургская область,ПФО,2021,Региональный уровень,51,  3 ,  11 ,  30 ,  14 ,  -   ,,,
Оренбургская область,ПФО,2021,Муниципальный уровень,52,  81 ,  31 ,  524 ,  257 ,  135 500 ,,,
Оренбургская область,ПФО,2021,Ученическое самоуправление,53,  596 ,,,,,  49 895 ,  26 150 ,
Оренбургская область,ПФО,2021,Студенческое самоуправление,54,  127 ,,,,,  12 262 ,  61 923 ,  1 517 730 
Орловская область,ЦФО,2021,Региональный уровень,51,  4 ,  20 ,  49 ,  18 ,,,,
Орловская область,ЦФО,2021,Муниципальный уровень,52,  22 ,  116 ,  27 ,  93 ,  14 300 ,,,
Орловская область,ЦФО,2021,Ученическое самоуправление,53,  358 ,,,,,  20 350 ,  22 390 ,
Орловская область,ЦФО,2021,Студенческое самоуправление,54,  62 ,,,,,  2 602 ,  23 987 ,  14 679 371 
Пензенская область,ПФО,2021,Региональный уровень,51,  5 ,  67 ,  36 ,  8 ,  -   ,,,
Пензенская область,ПФО,2021,Муниципальный уровень,52,  58 ,  605 ,  391 ,  86 ,  8 500 ,,,
Пензенская область,ПФО,2021,Ученическое самоуправление,53,  368 ,,,,,  28 100 ,  87 013 ,
Пензенская область,ПФО,2021,Студенческое самоуправление,54,  218 ,,,,,  27 900 ,  35 209 ,  -   
Пермский край,ПФО,2021,Региональный уровень,51,  2 ,  -   ,  60 ,  7 ,  4 488 041 ,,,
Пермский край,ПФО,2021,Муниципальный уровень,52,  73 ,  69 ,  423 ,  215 ,  491 959 ,,,
Пермский край,ПФО,2021,Ученическое самоуправление,53,  1 856 ,,,,,  29 411 ,  168 945 ,
Пермский край,ПФО,2021,Студенческое самоуправление,54,  163 ,,,,,  5 065 ,  102 499 ,  10 165 000 
Приморский край,ДФО,2021,Региональный уровень,51,  2 ,,  108 ,,,,,
Приморский край,ДФО,2021,Муниципальный уровень,52,  69 ,  358 ,  257 ,  39 ,  335 670 ,,,
Приморский край,ДФО,2021,Ученическое самоуправление,53,  355 ,,,,,  7 236 ,  35 287 ,
Приморский край,ДФО,2021,Студенческое самоуправление,54,  121 ,,,,,  2 365 ,  16 377 ,  130 000 
Псковская область,СЗФО,2021,Региональный уровень,51,  15 ,,  26 ,  16 ,,,,
Псковская область,СЗФО,2021,Муниципальный уровень,52,  22 ,  127 ,  24 ,  57 ,,,,
Псковская область,СЗФО,2021,Ученическое самоуправление,53,  60 ,,,,,  2 222 ,  15 652 ,
Псковская область,СЗФО,2021,Студенческое самоуправление,54,  13 ,,,,,  212 ,  4 950 ,
Ростовская область,ЮФО,2021,Региональный уровень,51,  3 ,  16 ,  95 ,  14 ,  2 107 900 ,,,
Ростовская область,ЮФО,2021,Муниципальный уровень,52,  192 ,  1 054 ,  940 ,  253 ,  182 700 ,,,
Ростовская область,ЮФО,2021,Ученическое самоуправление,53,  1 138 ,,,,,  22 760 ,  102 422 ,
Ростовская область,ЮФО,2021,Студенческое самоуправление,54,  104 ,,,,,  15 207 ,  88 387 ,  -   
Рязанская область,ЦФО,2021,Региональный уровень,51,  125 ,  21 ,  40 ,  104 ,  -   ,,,
Рязанская область,ЦФО,2021,Муниципальный уровень,52,  54 ,  441 ,  -   ,  129 ,  55 934 ,,,
Рязанская область,ЦФО,2021,Ученическое самоуправление,53,  220 ,,,,,  5 951 ,  44 063 ,
Рязанская область,ЦФО,2021,Студенческое самоуправление,54,  123 ,,,,,  1 961 ,  17 481 ,  2 475 881 
Самарская область,ПФО,2021,Региональный уровень,51,  3 ,  43 ,  131 ,  14 ,  6 357 774 ,,,
Самарская область,ПФО,2021,Муниципальный уровень,52,  55 ,  357 ,  532 ,  11 ,  16 000 ,,,
Самарская область,ПФО,2021,Ученическое самоуправление,53,  797 ,,,,,  92 336 ,  92 925 ,
Самарская область,ПФО,2021,Студенческое самоуправление,54,  197 ,,,,,  44 866 ,  53 471 ,  -   
Санкт-Петербург,СЗФО,2021,Региональный уровень,51,  3 ,  133 ,  -   ,  -   ,  -   ,,,
Санкт-Петербург,СЗФО,2021,Муниципальный уровень,52,  18 ,  707 ,  -   ,  -   ,  -   ,,,
Санкт-Петербург,СЗФО,2021,Ученическое самоуправление,53,  596 ,,,,,  17 115 ,  -   ,
Санкт-Петербург,СЗФО,2021,Студенческое самоуправление,54,  146 ,,,,,  8 510 ,  10 000 ,  -   
Саратовская область,ПФО,2021,Региональный уровень,51,  3 ,  16 ,  40 ,  14 ,  -   ,,,
Саратовская область,ПФО,2021,Муниципальный уровень,52,  41 ,  375 ,  45 ,  77 ,  45 000 ,,,
Саратовская область,ПФО,2021,Ученическое самоуправление,53,  784 ,,,,,  36 548 ,  252 536 ,
Саратовская область,ПФО,2021,Студенческое самоуправление,54,  50 ,,,,,  455 ,  40 000 ,  -   
Республика Саха (Якутия),ДФО,2021,Региональный уровень,51,  40 ,  42 ,  50 ,  14 ,  -   ,,,
Республика Саха (Якутия),ДФО,2021,Муниципальный уровень,52,  65 ,  420 ,  247 ,  90 ,  205 000 ,,,
Республика Саха (Якутия),ДФО,2021,Ученическое самоуправление,53,,,,,,  3 643 ,  26 721 ,
Республика Саха (Якутия),ДФО,2021,Студенческое самоуправление,54,,,,,,  25 825 ,  23 068 ,  50 000 
Сахалинская область,ДФО,2021,Региональный уровень,51,  3 ,  8 ,  23 ,  21 ,  400 000 ,,,
Сахалинская область,ДФО,2021,Муниципальный уровень,52,  18 ,  254 ,  120 ,  4 ,  98 000 ,,,
Сахалинская область,ДФО,2021,Ученическое самоуправление,53,  133 ,,,,,  8 321 ,  16 625 ,
Сахалинская область,ДФО,2021,Студенческое самоуправление,54,  28 ,,,,,  3 109 ,  5 102 ,  -   
Свердловская область,УФО,2021,Региональный уровень,51,,  28 ,  50 ,  14 ,  600 000 ,,,
Свердловская область,УФО,2021,Муниципальный уровень,52,  83 ,  772 ,  232 ,  286 ,  126 889 ,,,
Свердловская область,УФО,2021,Ученическое самоуправление,53,  745 ,,,,,  16 486 ,  132 158 ,
Свердловская область,УФО,2021,Студенческое самоуправление,54,  194 ,,,,,  8 269 ,  83 956 ,  10 886 070 
Севастополь,ЮФО,2021,Региональный уровень,51,  3 ,  15 ,  24 ,  14 ,  -   ,,,
Севастополь,ЮФО,2021,Муниципальный уровень,52,  3 ,  39 ,  -   ,  -   ,  -   ,,,
Севастополь,ЮФО,2021,Ученическое самоуправление,53,  60 ,,,,,  420 ,  8 000 ,
