Регион,Округ,Год,Показатель,№ строки,Единица измерения, Значение
Республика Алтай,СФО,2021,"Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику",35,ед,  50 243 
Республика Алтай,СФО,2021,Финансирование информационного освещения реализации государственной молодeжной политики,36,руб,  350 000 
Республика Алтай,СФО,2021,"Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе",37,ед,  200 
Республика Алтай,СФО,2021,"Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:",38,ед,  1 500 
Республика Алтай,СФО,2021,      в печатных средствах массовой информации,39,ед,  250 
Республика Алтай,СФО,2021,      в интернет-СМИ,40,ед,  1 100 
Республика Алтай,СФО,2021,      ТВ-сюжетов,41,ед,  150 
Республика Алтай,СФО,2021,"Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",42,ед,  113 
Республика Алтай,СФО,2021,"Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",43,ед,  2 
Республика Алтай,СФО,2021,"Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",44,чел,  5 005 
Республика Алтай,СФО,2021,"Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",45,ед,  834 
Алтайский край,СФО,2021,"Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику",34,чел,  35 000 
Алтайский край,СФО,2021,"Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику",35,ед,  171 600 
Алтайский край,СФО,2021,Финансирование информационного освещения реализации государственной молодeжной политики,36,руб,  1 006 370 
Алтайский край,СФО,2021,"Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе",37,ед,  48 
Алтайский край,СФО,2021,"Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:",38,ед,  169 
Алтайский край,СФО,2021,      в печатных средствах массовой информации,39,ед,  48 
Алтайский край,СФО,2021,      в интернет-СМИ,40,ед,  87 
Алтайский край,СФО,2021,      ТВ-сюжетов,41,ед,  34 
Алтайский край,СФО,2021,"Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",42,ед,  23 
Алтайский край,СФО,2021,"Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",43,ед,  16 
Алтайский край,СФО,2021,"Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",44,чел,  4 801 
Алтайский край,СФО,2021,"Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",45,ед,  2 525 
Амурская область,ДФО,2021,"Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику",34,чел,  5 881 
Амурская область,ДФО,2021,"Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику",35,ед,  298 900 
Амурская область,ДФО,2021,Финансирование информационного освещения реализации государственной молодeжной политики,36,руб,  -   
Амурская область,ДФО,2021,"Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе",37,ед,  32 
Амурская область,ДФО,2021,"Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:",38,ед,  281 
Амурская область,ДФО,2021,      в печатных средствах массовой информации,39,ед,  45 
Амурская область,ДФО,2021,      в интернет-СМИ,40,ед,  182 
Амурская область,ДФО,2021,      ТВ-сюжетов,41,ед,  54 
Амурская область,ДФО,2021,"Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",42,ед,  1 
Амурская область,ДФО,2021,"Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",43,ед,  1 
Амурская область,ДФО,2021,"Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",44,чел,  2 998 
Амурская область,ДФО,2021,"Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",45,ед,  359 
Архангельская область,СЗФО,2021,"Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику",34,чел,  18 554 
Архангельская область,СЗФО,2021,"Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику",35,ед,  886 688 
Архангельская область,СЗФО,2021,Финансирование информационного освещения реализации государственной молодeжной политики,36,руб,  5 000 000 
Архангельская область,СЗФО,2021,"Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе",37,ед,  206 
Архангельская область,СЗФО,2021,"Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:",38,ед,  13 926 
Архангельская область,СЗФО,2021,      в печатных средствах массовой информации,39,ед,  583 
Архангельская область,СЗФО,2021,      в интернет-СМИ,40,ед,  13 147 
Архангельская область,СЗФО,2021,      ТВ-сюжетов,41,ед,  196 
Архангельская область,СЗФО,2021,"Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",42,ед,  50 
Архангельская область,СЗФО,2021,"Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",43,ед,  16 
Архангельская область,СЗФО,2021,"Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",44,чел,  49 791 
Архангельская область,СЗФО,2021,"Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",45,ед,  3 641 
Астраханская  область,ЮФО,2021,"Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику",34,чел,  39 500 
Астраханская  область,ЮФО,2021,"Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику",35,ед,  65 000 
Астраханская  область,ЮФО,2021,Финансирование информационного освещения реализации государственной молодeжной политики,36,руб,
Астраханская  область,ЮФО,2021,"Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе",37,ед,  42 
Астраханская  область,ЮФО,2021,"Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:",38,ед,  4 765 
Астраханская  область,ЮФО,2021,      в печатных средствах массовой информации,39,ед,  70 
Астраханская  область,ЮФО,2021,      в интернет-СМИ,40,ед,  4 275 
Астраханская  область,ЮФО,2021,      ТВ-сюжетов,41,ед,  420 
Астраханская  область,ЮФО,2021,"Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",42,ед,  150 
Астраханская  область,ЮФО,2021,"Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",43,ед,  15 
Астраханская  область,ЮФО,2021,"Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",44,чел,  27 162 
Астраханская  область,ЮФО,2021,"Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",45,ед,  8 815 
Республика Башкортостан,ПФО,2021,"Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику",34,чел,  343 031 
Республика Башкортостан,ПФО,2021,"Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику",35,ед,  1 347 561 
Республика Башкортостан,ПФО,2021,Финансирование информационного освещения реализации государственной молодeжной политики,36,руб,  1 323 000 
Республика Башкортостан,ПФО,2021,"Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе",37,ед,  308 
Республика Башкортостан,ПФО,2021,"Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:",38,ед,  3 218 
Республика Башкортостан,ПФО,2021,      в печатных средствах массовой информации,39,ед,  891 
Республика Башкортостан,ПФО,2021,      в интернет-СМИ,40,ед,  1 876 
Республика Башкортостан,ПФО,2021,      ТВ-сюжетов,41,ед,  451 
Республика Башкортостан,ПФО,2021,"Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",42,ед,  134 
Республика Башкортостан,ПФО,2021,"Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",43,ед,  53 
Республика Башкортостан,ПФО,2021,"Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",44,чел,  1 691 
Республика Башкортостан,ПФО,2021,"Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",45,ед,  1 391 
Белгородская область,ЦФО,2021,"Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику",34,чел,  13 487 
Белгородская область,ЦФО,2021,"Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику",35,ед,  48 569 
Белгородская область,ЦФО,2021,Финансирование информационного освещения реализации государственной молодeжной политики,36,руб,  4 600 
Белгородская область,ЦФО,2021,"Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе",37,ед,  34 
Белгородская область,ЦФО,2021,"Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:",38,ед,  1 450 
Белгородская область,ЦФО,2021,      в печатных средствах массовой информации,39,ед,  932 
Белгородская область,ЦФО,2021,      в интернет-СМИ,40,ед,  327 
Белгородская область,ЦФО,2021,      ТВ-сюжетов,41,ед,  191 
Белгородская область,ЦФО,2021,"Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",42,ед,  8 
Белгородская область,ЦФО,2021,"Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",43,ед,  72 
Белгородская область,ЦФО,2021,"Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",44,чел,  8 544 
Белгородская область,ЦФО,2021,"Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",45,ед,  699 
Брянская область,ЦФО,2021,"Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику",34,чел,  39 348 
Брянская область,ЦФО,2021,"Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику",35,ед,  131 108 
Брянская область,ЦФО,2021,Финансирование информационного освещения реализации государственной молодeжной политики,36,руб,  1 000 000 
Брянская область,ЦФО,2021,"Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе",37,ед,  1 387 
Брянская область,ЦФО,2021,"Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:",38,ед,  34 416 
Брянская область,ЦФО,2021,      в печатных средствах массовой информации,39,ед,  33 100 
Брянская область,ЦФО,2021,      в интернет-СМИ,40,ед,  1 019 
Брянская область,ЦФО,2021,      ТВ-сюжетов,41,ед,  297 
Брянская область,ЦФО,2021,"Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",42,ед,  98 
Брянская область,ЦФО,2021,"Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",43,ед,  8 
Брянская область,ЦФО,2021,"Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",44,чел,  5 416 
Брянская область,ЦФО,2021,"Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",45,ед,  1 954 
Республика Бурятия,ДФО,2021,"Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику",34,чел,  16 500 
Республика Бурятия,ДФО,2021,"Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику",35,ед,  648 500 
Республика Бурятия,ДФО,2021,Финансирование информационного освещения реализации государственной молодeжной политики,36,руб,  828 050 
Республика Бурятия,ДФО,2021,"Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе",37,ед,  18 
Республика Бурятия,ДФО,2021,"Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:",38,ед,  3 583 
Республика Бурятия,ДФО,2021,      в печатных средствах массовой информации,39,ед,  80 
Республика Бурятия,ДФО,2021,      в интернет-СМИ,40,ед,  3 076 
Республика Бурятия,ДФО,2021,      ТВ-сюжетов,41,ед,  427 
Республика Бурятия,ДФО,2021,"Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",42,ед,  25 
Республика Бурятия,ДФО,2021,"Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",43,ед,  20 
Республика Бурятия,ДФО,2021,"Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",44,чел,  24 000 
Республика Бурятия,ДФО,2021,"Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",45,ед,  1 235 
Владимирская область,ЦФО,2021,"Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику",34,чел,  14 642 
Владимирская область,ЦФО,2021,"Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику",35,ед,  235 616 
Владимирская область,ЦФО,2021,Финансирование информационного освещения реализации государственной молодeжной политики,36,руб,  764 907 
Владимирская область,ЦФО,2021,"Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе",37,ед,  19 
Владимирская область,ЦФО,2021,"Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:",38,ед,  950 
Владимирская область,ЦФО,2021,      в печатных средствах массовой информации,39,ед,  234 
Владимирская область,ЦФО,2021,      в интернет-СМИ,40,ед,  646 
Владимирская область,ЦФО,2021,      ТВ-сюжетов,41,ед,  70 
Владимирская область,ЦФО,2021,"Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",42,ед,  19 
Владимирская область,ЦФО,2021,"Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",43,ед,  117 
Владимирская область,ЦФО,2021,"Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",44,чел,  7 484 
Владимирская область,ЦФО,2021,"Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",45,ед,  496 
Волгоградская область,ЮФО,2021,"Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику",34,чел,  96 000 
Волгоградская область,ЮФО,2021,"Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику",35,ед,  397 166 
Волгоградская область,ЮФО,2021,Финансирование информационного освещения реализации государственной молодeжной политики,36,руб,  2 308 300 
Волгоградская область,ЮФО,2021,"Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе",37,ед,  234 
Волгоградская область,ЮФО,2021,"Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:",38,ед,  9 670 
Волгоградская область,ЮФО,2021,      в печатных средствах массовой информации,39,ед,  1 254 
Волгоградская область,ЮФО,2021,      в интернет-СМИ,40,ед,  7 385 
Волгоградская область,ЮФО,2021,      ТВ-сюжетов,41,ед,  1 031 
