Регион,Округ,Год,Показатель,№ строки,Единица измерения,Значение
Республика Алтай,СФО,2021,"Общая численность граждан, вовлеченных центрами (сообществами, объединениями) поддержки добровольчества (волонтерства) на базе образовательных организаций, некоммерческих организаций, государственных и муниципальных учреждений в добровольческую (волонтерскую) деятельность на территории субъекта Российской Федерации, в том числе:",69,чел,  39 549 
Республика Алтай,СФО,2021,      добровольцы (волонтеры) в возрасте от 7 до 13 лет,70,чел,  408 
Республика Алтай,СФО,2021,      добровольцы (волонтеры) в возрасте от 14 до 30 лет,71,чел,  20 800 
Республика Алтай,СФО,2021,      добровольцы (волонтеры) в возрасте от 31 до 54 лет,72,чел,  18 301 
Республика Алтай,СФО,2021,      добровольцы (волонтеры) «серебряного» возраста (55 лет и старше),73,чел,  40 
Республика Алтай,СФО,2021,"Общая численность граждан, вовлеченных в добровольческую деятельность на территории субъекта Российской Федерации, включая вовлеченных центрами (сообществами, объединениями) поддержки добровольчества (волонтерства), по направлениям сферы деятельности: добровольческая (волонтерская) деятельность в области образования",74,чел,  253 
Республика Алтай,СФО,2021,      добровольчество (волонтерство) в сфере гражданско-патриотического воспитания,75,чел,  24 
Республика Алтай,СФО,2021,      добровольчество (волонтерство) в сфере здравоохранения,76,чел,  3 035 
Республика Алтай,СФО,2021,      добровольчество (волонтерство) в сфере социальной поддержки и социального обслуживания населения,77,чел,  5 211 
Республика Алтай,СФО,2021,      добровольчество (волонтерство) в сфере культуры,78,чел,  12 
Республика Алтай,СФО,2021,      добровольчество (волонтерство) в сфере физической культуры и спорта,79,чел,  63 
Республика Алтай,СФО,2021,      добровольчество (волонтерство) в сфере охраны природы,80,чел,  380 
Республика Алтай,СФО,2021,      добровольчество (волонтерство) в сфере развития городской среды и туристической деятельности,81,чел,  2 134 
Республика Алтай,СФО,2021,      добровольчество (волонтерство) в сфере предупреждения и ликвидации последствий чрезвычайных ситуаций,82,чел,  743 
Республика Алтай,СФО,2021,"      добровольчество (волонтерство) в сфере содействия в поиске пропавших людей, содействия органам внутренних дел и иным правоохранительным органам в охране общественного порядка в добровольных народных дружинах",83,чел,  30 
Республика Алтай,СФО,2021,      добровольчество (волонтерство) в сфере обеспечения доступности правовой поддержки населения,84,чел,  30 
Республика Алтай,СФО,2021,      добровольчество (волонтерство) в сфере финансового просвещения,85,чел,  27 
Республика Алтай,СФО,2021,      добровольчество (волонтерство) по месту жительства,86,чел,  26 413 
Республика Алтай,СФО,2021,      инклюзивное добровольчество (волонтерство),87,чел,  30 
Республика Алтай,СФО,2021,      добровольчество (волонтерство) граждан в возрасте 55 лет и старше,88,чел,  40 
Республика Алтай,СФО,2021,"      добровольчество (волонтерство), реализуемое в семейных формах",89,чел,  1 000 
Республика Алтай,СФО,2021,      корпоративное добровольчество (волонтерство),90,чел,  124 
Алтайский край,СФО,2021,Общее количество региональных ресурсных центров поддержки добровольчества на территории субъекта Российской Федерации:,60,ед,  2 
Алтайский край,СФО,2021,"Количество государственных учреждений на территории субъекта Российской Федерации, работающих с добровольцами (волонтерами) и реализующих совместные программы в следущих сферах:",61,ед,  1 572 
Алтайский край,СФО,2021,      образование,62,ед,  19 
Алтайский край,СФО,2021,      здравохранение,63,ед,  72 
Алтайский край,СФО,2021,      социальная защита и социальное обслуживание,64,ед,  124 
Алтайский край,СФО,2021,      культура,65,ед,  1 343 
Алтайский край,СФО,2021,      физическая культура и спорт,66,чел,  12 
Алтайский край,СФО,2021,      охрана природы,67,чел,  2 
Алтайский край,СФО,2021,      строительство и ЖКХ,68,чел,  -   
Алтайский край,СФО,2021,"Общая численность граждан, вовлеченных центрами (сообществами, объединениями) поддержки добровольчества (волонтерства) на базе образовательных организаций, некоммерческих организаций, государственных и муниципальных учреждений в добровольческую (волонтерскую) деятельность на территории субъекта Российской Федерации, в том числе:",69,чел,  158 184 
Алтайский край,СФО,2021,      добровольцы (волонтеры) в возрасте от 7 до 13 лет,70,чел,  41 467 
Алтайский край,СФО,2021,      добровольцы (волонтеры) в возрасте от 14 до 30 лет,71,чел,  92 522 
Алтайский край,СФО,2021,      добровольцы (волонтеры) в возрасте от 31 до 54 лет,72,чел,  16 787 
Алтайский край,СФО,2021,      добровольцы (волонтеры) «серебряного» возраста (55 лет и старше),73,чел,  7 408 
Алтайский край,СФО,2021,"Общая численность граждан, вовлеченных в добровольческую деятельность на территории субъекта Российской Федерации, включая вовлеченных центрами (сообществами, объединениями) поддержки добровольчества (волонтерства), по направлениям сферы деятельности: добровольческая (волонтерская) деятельность в области образования",74,чел,  19 788 
Алтайский край,СФО,2021,      добровольчество (волонтерство) в сфере гражданско-патриотического воспитания,75,чел,  3 725 
Алтайский край,СФО,2021,      добровольчество (волонтерство) в сфере здравоохранения,76,чел,  4 280 
Алтайский край,СФО,2021,      добровольчество (волонтерство) в сфере социальной поддержки и социального обслуживания населения,77,чел,  28 613 
Алтайский край,СФО,2021,      добровольчество (волонтерство) в сфере культуры,78,чел,  2 712 
Алтайский край,СФО,2021,      добровольчество (волонтерство) в сфере физической культуры и спорта,79,чел,  2 432 
Алтайский край,СФО,2021,      добровольчество (волонтерство) в сфере охраны природы,80,чел,  1 980 
Алтайский край,СФО,2021,      добровольчество (волонтерство) в сфере развития городской среды и туристической деятельности,81,чел,  807 
Алтайский край,СФО,2021,      добровольчество (волонтерство) в сфере предупреждения и ликвидации последствий чрезвычайных ситуаций,82,чел,  977 
Алтайский край,СФО,2021,"      добровольчество (волонтерство) в сфере содействия в поиске пропавших людей, содействия органам внутренних дел и иным правоохранительным органам в охране общественного порядка в добровольных народных дружинах",83,чел,  711 
Алтайский край,СФО,2021,      добровольчество (волонтерство) в сфере обеспечения доступности правовой поддержки населения,84,чел,  1 035 
Алтайский край,СФО,2021,      добровольчество (волонтерство) в сфере финансового просвещения,85,чел,  312 
Алтайский край,СФО,2021,      добровольчество (волонтерство) по месту жительства,86,чел,  82 020 
Алтайский край,СФО,2021,      инклюзивное добровольчество (волонтерство),87,чел,  4 878 
Алтайский край,СФО,2021,      добровольчество (волонтерство) граждан в возрасте 55 лет и старше,88,чел,  2 200 
Алтайский край,СФО,2021,"      добровольчество (волонтерство), реализуемое в семейных формах",89,чел,  925 
Алтайский край,СФО,2021,      корпоративное добровольчество (волонтерство),90,чел,  789 
Амурская область,ДФО,2021,Общее количество региональных ресурсных центров поддержки добровольчества на территории субъекта Российской Федерации:,60,ед,  3 
Амурская область,ДФО,2021,"Количество государственных учреждений на территории субъекта Российской Федерации, работающих с добровольцами (волонтерами) и реализующих совместные программы в следущих сферах:",61,ед,  530 
Амурская область,ДФО,2021,      образование,62,ед,  317 
Амурская область,ДФО,2021,      здравохранение,63,ед,  39 
Амурская область,ДФО,2021,      социальная защита и социальное обслуживание,64,ед,  13 
Амурская область,ДФО,2021,      культура,65,ед,  103 
Амурская область,ДФО,2021,      физическая культура и спорт,66,чел,  49 
Амурская область,ДФО,2021,      охрана природы,67,чел,  5 
Амурская область,ДФО,2021,      строительство и ЖКХ,68,чел,  4 
Амурская область,ДФО,2021,"Общая численность граждан, вовлеченных центрами (сообществами, объединениями) поддержки добровольчества (волонтерства) на базе образовательных организаций, некоммерческих организаций, государственных и муниципальных учреждений в добровольческую (волонтерскую) деятельность на территории субъекта Российской Федерации, в том числе:",69,чел,  48 086 
Амурская область,ДФО,2021,      добровольцы (волонтеры) в возрасте от 7 до 13 лет,70,чел,  14 849 
Амурская область,ДФО,2021,      добровольцы (волонтеры) в возрасте от 14 до 30 лет,71,чел,  27 158 
Амурская область,ДФО,2021,      добровольцы (волонтеры) в возрасте от 31 до 54 лет,72,чел,  4 461 
Амурская область,ДФО,2021,      добровольцы (волонтеры) «серебряного» возраста (55 лет и старше),73,чел,  1 618 
Амурская область,ДФО,2021,"Общая численность граждан, вовлеченных в добровольческую деятельность на территории субъекта Российской Федерации, включая вовлеченных центрами (сообществами, объединениями) поддержки добровольчества (волонтерства), по направлениям сферы деятельности: добровольческая (волонтерская) деятельность в области образования",74,чел,  24 718 
Амурская область,ДФО,2021,      добровольчество (волонтерство) в сфере гражданско-патриотического воспитания,75,чел,  12 491 
Амурская область,ДФО,2021,      добровольчество (волонтерство) в сфере здравоохранения,76,чел,  1 342 
Амурская область,ДФО,2021,      добровольчество (волонтерство) в сфере социальной поддержки и социального обслуживания населения,77,чел,  12 008 
Амурская область,ДФО,2021,      добровольчество (волонтерство) в сфере культуры,78,чел,  3 280 
Амурская область,ДФО,2021,      добровольчество (волонтерство) в сфере физической культуры и спорта,79,чел,  18 911 
Амурская область,ДФО,2021,      добровольчество (волонтерство) в сфере охраны природы,80,чел,  4 948 
Амурская область,ДФО,2021,      добровольчество (волонтерство) в сфере развития городской среды и туристической деятельности,81,чел,  2 947 
Амурская область,ДФО,2021,      добровольчество (волонтерство) в сфере предупреждения и ликвидации последствий чрезвычайных ситуаций,82,чел,  2 614 
Амурская область,ДФО,2021,"      добровольчество (волонтерство) в сфере содействия в поиске пропавших людей, содействия органам внутренних дел и иным правоохранительным органам в охране общественного порядка в добровольных народных дружинах",83,чел,  2 252 
Амурская область,ДФО,2021,      добровольчество (волонтерство) в сфере обеспечения доступности правовой поддержки населения,84,чел,  69 
Амурская область,ДФО,2021,      добровольчество (волонтерство) в сфере финансового просвещения,85,чел,  267 
Амурская область,ДФО,2021,      добровольчество (волонтерство) по месту жительства,86,чел,  4 796 
Амурская область,ДФО,2021,      инклюзивное добровольчество (волонтерство),87,чел,  642 
Амурская область,ДФО,2021,      добровольчество (волонтерство) граждан в возрасте 55 лет и старше,88,чел,  3 754 
Амурская область,ДФО,2021,"      добровольчество (волонтерство), реализуемое в семейных формах",89,чел,  949 
Амурская область,ДФО,2021,      корпоративное добровольчество (волонтерство),90,чел,  5 657 
Архангельская область,СЗФО,2021,Общее количество региональных ресурсных центров поддержки добровольчества на территории субъекта Российской Федерации:,60,ед,  1 
Архангельская область,СЗФО,2021,"Количество государственных учреждений на территории субъекта Российской Федерации, работающих с добровольцами (волонтерами) и реализующих совместные программы в следущих сферах:",61,ед,  123 
Архангельская область,СЗФО,2021,      образование,62,ед,  48 
Архангельская область,СЗФО,2021,      здравохранение,63,ед,  5 
Архангельская область,СЗФО,2021,      социальная защита и социальное обслуживание,64,ед,  8 
Архангельская область,СЗФО,2021,      культура,65,ед,  48 
Архангельская область,СЗФО,2021,      физическая культура и спорт,66,чел,  11 
Архангельская область,СЗФО,2021,      охрана природы,67,чел,  2 
Архангельская область,СЗФО,2021,      строительство и ЖКХ,68,чел,  1 
Архангельская область,СЗФО,2021,"Общая численность граждан, вовлеченных центрами (сообществами, объединениями) поддержки добровольчества (волонтерства) на базе образовательных организаций, некоммерческих организаций, государственных и муниципальных учреждений в добровольческую (волонтерскую) деятельность на территории субъекта Российской Федерации, в том числе:",69,чел,  66 474 
Архангельская область,СЗФО,2021,      добровольцы (волонтеры) в возрасте от 7 до 13 лет,70,чел,  4 016 
Архангельская область,СЗФО,2021,      добровольцы (волонтеры) в возрасте от 14 до 30 лет,71,чел,  51 673 
Архангельская область,СЗФО,2021,      добровольцы (волонтеры) в возрасте от 31 до 54 лет,72,чел,  9 044 
Архангельская область,СЗФО,2021,      добровольцы (волонтеры) «серебряного» возраста (55 лет и старше),73,чел,  1 741 
Архангельская область,СЗФО,2021,"Общая численность граждан, вовлеченных в добровольческую деятельность на территории субъекта Российской Федерации, включая вовлеченных центрами (сообществами, объединениями) поддержки добровольчества (волонтерства), по направлениям сферы деятельности: добровольческая (волонтерская) деятельность в области образования",74,чел,  9 998 
Архангельская область,СЗФО,2021,      добровольчество (волонтерство) в сфере гражданско-патриотического воспитания,75,чел,  13 102 
Архангельская область,СЗФО,2021,      добровольчество (волонтерство) в сфере здравоохранения,76,чел,  1 111 
Архангельская область,СЗФО,2021,      добровольчество (волонтерство) в сфере социальной поддержки и социального обслуживания населения,77,чел,  2 948 
Архангельская область,СЗФО,2021,      добровольчество (волонтерство) в сфере культуры,78,чел,  2 004 
Архангельская область,СЗФО,2021,      добровольчество (волонтерство) в сфере физической культуры и спорта,79,чел,  10 302 
Архангельская область,СЗФО,2021,      добровольчество (волонтерство) в сфере охраны природы,80,чел,  12 338 
Архангельская область,СЗФО,2021,      добровольчество (волонтерство) в сфере развития городской среды и туристической деятельности,81,чел,  456 
Архангельская область,СЗФО,2021,      добровольчество (волонтерство) в сфере предупреждения и ликвидации последствий чрезвычайных ситуаций,82,чел,  552 
Архангельская область,СЗФО,2021,"      добровольчество (волонтерство) в сфере содействия в поиске пропавших людей, содействия органам внутренних дел и иным правоохранительным органам в охране общественного порядка в добровольных народных дружинах",83,чел,  535 
Архангельская область,СЗФО,2021,      добровольчество (волонтерство) в сфере обеспечения доступности правовой поддержки населения,84,чел,  95 
Архангельская область,СЗФО,2021,      добровольчество (волонтерство) в сфере финансового просвещения,85,чел,  28 
Архангельская область,СЗФО,2021,      добровольчество (волонтерство) по месту жительства,86,чел,  3 033 
Архангельская область,СЗФО,2021,      инклюзивное добровольчество (волонтерство),87,чел,  1 054 
Архангельская область,СЗФО,2021,      добровольчество (волонтерство) граждан в возрасте 55 лет и старше,88,чел,  617 
Архангельская область,СЗФО,2021,"      добровольчество (волонтерство), реализуемое в семейных формах",89,чел,  987 
Архангельская область,СЗФО,2021,      корпоративное добровольчество (волонтерство),90,чел,  599 
Астраханская  область,ЮФО,2021,Общее количество региональных ресурсных центров поддержки добровольчества на территории субъекта Российской Федерации:,60,ед,  1 
Астраханская  область,ЮФО,2021,"Количество государственных учреждений на территории субъекта Российской Федерации, работающих с добровольцами (волонтерами) и реализующих совместные программы в следущих сферах:",61,ед,  381 
Астраханская  область,ЮФО,2021,      образование,62,ед,  188 
Астраханская  область,ЮФО,2021,      здравохранение,63,ед,  26 
Астраханская  область,ЮФО,2021,      социальная защита и социальное обслуживание,64,ед,  33 
Астраханская  область,ЮФО,2021,      культура,65,ед,  106 
Астраханская  область,ЮФО,2021,      физическая культура и спорт,66,чел,  19 
Астраханская  область,ЮФО,2021,      охрана природы,67,чел,  7 
Астраханская  область,ЮФО,2021,      строительство и ЖКХ,68,чел,  2 
Астраханская  область,ЮФО,2021,"Общая численность граждан, вовлеченных центрами (сообществами, объединениями) поддержки добровольчества (волонтерства) на базе образовательных организаций, некоммерческих организаций, государственных и муниципальных учреждений в добровольческую (волонтерскую) деятельность на территории субъекта Российской Федерации, в том числе:",69,чел,  47 503 
Астраханская  область,ЮФО,2021,      добровольцы (волонтеры) в возрасте от 7 до 13 лет,70,чел,  14 621 
Астраханская  область,ЮФО,2021,      добровольцы (волонтеры) в возрасте от 14 до 30 лет,71,чел,  26 631 
Астраханская  область,ЮФО,2021,      добровольцы (волонтеры) в возрасте от 31 до 54 лет,72,чел,  5 246 
Астраханская  область,ЮФО,2021,      добровольцы (волонтеры) «серебряного» возраста (55 лет и старше),73,чел,  1 005 
Астраханская  область,ЮФО,2021,"Общая численность граждан, вовлеченных в добровольческую деятельность на территории субъекта Российской Федерации, включая вовлеченных центрами (сообществами, объединениями) поддержки добровольчества (волонтерства), по направлениям сферы деятельности: добровольческая (волонтерская) деятельность в области образования",74,чел,  5 633 
Астраханская  область,ЮФО,2021,      добровольчество (волонтерство) в сфере гражданско-патриотического воспитания,75,чел,  9 846 
Астраханская  область,ЮФО,2021,      добровольчество (волонтерство) в сфере здравоохранения,76,чел,  5 269 
Астраханская  область,ЮФО,2021,      добровольчество (волонтерство) в сфере социальной поддержки и социального обслуживания населения,77,чел,  6 219 
Астраханская  область,ЮФО,2021,      добровольчество (волонтерство) в сфере культуры,78,чел,  1 680 
Астраханская  область,ЮФО,2021,      добровольчество (волонтерство) в сфере физической культуры и спорта,79,чел,  2 237 
Астраханская  область,ЮФО,2021,      добровольчество (волонтерство) в сфере охраны природы,80,чел,  8 917 
Астраханская  область,ЮФО,2021,      добровольчество (волонтерство) в сфере развития городской среды и туристической деятельности,81,чел,  1 210 
Астраханская  область,ЮФО,2021,      добровольчество (волонтерство) в сфере предупреждения и ликвидации последствий чрезвычайных ситуаций,82,чел,  1 762 
Астраханская  область,ЮФО,2021,"      добровольчество (волонтерство) в сфере содействия в поиске пропавших людей, содействия органам внутренних дел и иным правоохранительным органам в охране общественного порядка в добровольных народных дружинах",83,чел,  223 
Астраханская  область,ЮФО,2021,      добровольчество (волонтерство) в сфере обеспечения доступности правовой поддержки населения,84,чел,  109 
Астраханская  область,ЮФО,2021,      добровольчество (волонтерство) в сфере финансового просвещения,85,чел,  164 
Астраханская  область,ЮФО,2021,      добровольчество (волонтерство) по месту жительства,86,чел,  5 443 
Астраханская  область,ЮФО,2021,      инклюзивное добровольчество (волонтерство),87,чел,  282 
Астраханская  область,ЮФО,2021,      добровольчество (волонтерство) граждан в возрасте 55 лет и старше,88,чел,  346 
Астраханская  область,ЮФО,2021,"      добровольчество (волонтерство), реализуемое в семейных формах",89,чел,  116 
Астраханская  область,ЮФО,2021,      корпоративное добровольчество (волонтерство),90,чел,  175 
Республика Башкортостан,ПФО,2021,Общее количество региональных ресурсных центров поддержки добровольчества на территории субъекта Российской Федерации:,60,ед,  3 
Республика Башкортостан,ПФО,2021,"Количество государственных учреждений на территории субъекта Российской Федерации, работающих с добровольцами (волонтерами) и реализующих совместные программы в следущих сферах:",61,ед,  780 
Республика Башкортостан,ПФО,2021,      образование,62,ед,  438 
Республика Башкортостан,ПФО,2021,      здравохранение,63,ед,  127 
Республика Башкортостан,ПФО,2021,      социальная защита и социальное обслуживание,64,ед,  31 
Республика Башкортостан,ПФО,2021,      культура,65,ед,  140 
Республика Башкортостан,ПФО,2021,      физическая культура и спорт,66,чел,  23 
Республика Башкортостан,ПФО,2021,      охрана природы,67,чел,  17 
Республика Башкортостан,ПФО,2021,      строительство и ЖКХ,68,чел,  4 
Республика Башкортостан,ПФО,2021,"Общая численность граждан, вовлеченных центрами (сообществами, объединениями) поддержки добровольчества (волонтерства) на базе образовательных организаций, некоммерческих организаций, государственных и муниципальных учреждений в добровольческую (волонтерскую) деятельность на территории субъекта Российской Федерации, в том числе:",69,чел,  381 500 
Республика Башкортостан,ПФО,2021,      добровольцы (волонтеры) в возрасте от 7 до 13 лет,70,чел,  45 575 
Республика Башкортостан,ПФО,2021,      добровольцы (волонтеры) в возрасте от 14 до 30 лет,71,чел,  269 448 
Республика Башкортостан,ПФО,2021,      добровольцы (волонтеры) в возрасте от 31 до 54 лет,72,чел,  54 241 
Республика Башкортостан,ПФО,2021,      добровольцы (волонтеры) «серебряного» возраста (55 лет и старше),73,чел,  12 236 
Республика Башкортостан,ПФО,2021,"Общая численность граждан, вовлеченных в добровольческую деятельность на территории субъекта Российской Федерации, включая вовлеченных центрами (сообществами, объединениями) поддержки добровольчества (волонтерства), по направлениям сферы деятельности: добровольческая (волонтерская) деятельность в области образования",74,чел,  51 327 
